Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
Tatiana Rafter,MET,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.71,1,0,0,NA,0,0,0,0,0,0,8,3,0,0,0,0,0
Kaleigh Fratkin,BOS,F|D,18507441,2018-01-21,BOS,MET,0,0,1,1,0,0.6299999999999999,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Brittany Ott,BOS,G,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-2.76,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,16,5
Katie  Fitzgerald,MET,G,18507441,2018-01-21,BOS,MET,0,0,0,0,0,2.08,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,22,1
Alyssa Gagliardi,BOS,D,18507444,2018-02-04,BOS,CTW,0,1,0,1,1,0.64,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Cydney Roesler,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3,0,0,0
Elizabeth  Parker,BOS,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
Emma Greco ,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
Hanna  Beattie,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,-0.85,1,1,0,1,0,0,0,0,0,0,3,11,0,0,0,0,0
Jordan Brickner,CTW,D,18507444,2018-02-04,BOS,CTW,1,0,0,1,1,1.11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaliya Johnson,BOS,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Kaliya Johnson,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lexi Bender,BOS,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meagan Mangene,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.11,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Paige Harrington,BOS,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachael Ade,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Doyle,CTW,D,18507444,2018-02-04,BOS,CTW,0,0,1,1,0,0.75,1,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Meagan Mangene,BOS,D|F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.11,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Corey  Stearns,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,3,3,0,1,1,0,0
Dana Trivigno,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,1.05,3,0,1,0,0,0,0,0,0,0,12,6,0,0,0,0,0
Dana Trivigno,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,1.05,3,0,1,0,0,0,0,0,0,0,12,6,0,0,0,0,0
Emily Field,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.1,2,2,1,0.6666666666666666,0,0,0,0,0,0,0,1,0,1,0,0,0
Emily Fluke,CTW,F,18507444,2018-02-04,BOS,CTW,0,1,0,1,1,0.58,1,1,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0
Grace Klienbach,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heather  Schwarz,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,-0.17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Jamie Goldsmith,CTW,F,18507444,2018-02-04,BOS,CTW,1,0,0,1,1,1.71,1,1,2,0.3333333333333333,0,0,0,0,0,0,8,3,0,1,0,0,0
Jillian Dempsey,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,1,1,0,0.63,1,2,1,0.6666666666666666,0,0,0,0,0,0,10,11,0,1,0,0,0
Jordan Smelker,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,-0.009999999999999995,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Juana Baribeau,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,-0.07,2,0,0,NA,0,0,0,0,0,0,3,4,2,0,0,0,0
Kaycie Anderson,CTW,F,18507444,2018-02-04,BOS,CTW,0,1,0,1,1,0.75,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Parker,BOS,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghan   Huertas,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.55,5,1,0,1,0,0,0,0,0,0,5,5,0,2,0,0,0
Sam Faber,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.16999999999999996,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Stephanie  Mock,CTW,F,18507444,2018-02-04,BOS,CTW,0,0,0,0,0,0.11,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
